Sample	CellLine	Gender	Disease	Replicate	Factorial	Pb	VPA	BPA	ETOH	FH	Zn
P16902_132Aligned.sortedByCoord.out.bam	AF22	female	control	second	E1	Pb_Control	VPA_Control	BPA_Control	ETOH_Control	FH_Control	Zn_Control
P16902_133Aligned.sortedByCoord.out.bam	AF22	female	control	second	E2	Pb_Control	VPA_Control	BPA_Control	ETOH_Treatment	FH_Treatment	Zn_Treatment
P16902_134Aligned.sortedByCoord.out.bam	AF22	female	control	second	E3	Pb_Control	VPA_Treatment	BPA_Treatment	ETOH_Control	FH_Control	Zn_Treatment
P16902_135Aligned.sortedByCoord.out.bam	AF22	female	control	second	E4	Pb_Control	VPA_Treatment	BPA_Treatment	ETOH_Treatment	FH_Treatment	Zn_Control
P16902_136Aligned.sortedByCoord.out.bam	ASD17AII	male	ASD	first	E1	Pb_Control	VPA_Control	BPA_Control	ETOH_Control	FH_Control	Zn_Control
P16902_137Aligned.sortedByCoord.out.bam	ASD17AII	male	ASD	first	E2	Pb_Control	VPA_Control	BPA_Control	ETOH_Treatment	FH_Treatment	Zn_Treatment
P16902_138Aligned.sortedByCoord.out.bam	ASD17AII	male	ASD	first	E3	Pb_Control	VPA_Treatment	BPA_Treatment	ETOH_Control	FH_Control	Zn_Treatment
P16902_139Aligned.sortedByCoord.out.bam	ASD17AII	male	ASD	first	E4	Pb_Control	VPA_Treatment	BPA_Treatment	ETOH_Treatment	FH_Treatment	Zn_Control
P16902_140Aligned.sortedByCoord.out.bam	ASD17AII	male	ASD	first	E5	Pb_Treatment	VPA_Control	BPA_Treatment	ETOH_Control	FH_Treatment	Zn_Control
P16902_141Aligned.sortedByCoord.out.bam	ASD17AII	male	ASD	first	E6	Pb_Treatment	VPA_Control	BPA_Treatment	ETOH_Treatment	FH_Control	Zn_Treatment
P16902_142Aligned.sortedByCoord.out.bam	ASD17AII	male	ASD	first	E7	Pb_Treatment	VPA_Treatment	BPA_Control	ETOH_Control	FH_Treatment	Zn_Treatment
P16902_143Aligned.sortedByCoord.out.bam	ASD17AII	male	ASD	first	E8	Pb_Treatment	VPA_Treatment	BPA_Control	ETOH_Treatment	FH_Control	Zn_Control
